Date,Price,Open,High,Low,Vol.,Change %
09/12/2021,18.64,18.69,18.75,18.5,56.32K,0.16%
09/09/2021,18.61,18.7,18.82,18.6,214.07K,-0.48%
09/08/2021,18.7,18.8,18.84,18.67,89.88K,0.00%
09/07/2021,18.7,18.61,18.8,18.61,252.50K,0.48%
09/06/2021,18.61,18.85,18.85,18.33,1.22M,-1.27%
09/05/2021,18.85,19.2,19.35,18.81,451.19K,-2.03%
09/02/2021,19.24,19.16,19.3,19.06,1.02M,1.32%
09/01/2021,18.99,19.05,19.36,18.88,1.34M,0.53%
08/31/2021,18.89,18.9,19.0,18.75,555.76K,-0.16%
08/30/2021,18.92,19.0,19.09,18.77,385.86K,-0.32%
08/29/2021,18.98,19.38,19.38,18.86,341.06K,-0.78%
08/26/2021,19.13,19.15,19.5,18.9,480.15K,0.26%
08/25/2021,19.08,19.15,19.45,18.88,311.63K,0.16%
08/24/2021,19.05,19.11,19.3,18.86,193.61K,-0.21%
08/23/2021,19.09,18.98,19.3,18.95,200.78K,1.43%
08/22/2021,18.82,18.9,18.98,18.73,97.55K,-0.84%
08/19/2021,18.98,19.06,19.2,18.9,208.30K,-1.04%
08/18/2021,19.18,19.1,19.35,19.05,149.08K,-0.26%
08/17/2021,19.23,19.24,19.6,19.1,205.88K,-0.41%
08/16/2021,19.31,19.42,19.5,19.2,209.69K,-0.21%
08/15/2021,19.35,19.92,19.92,19.16,348.35K,-1.17%
08/11/2021,19.58,19.48,19.84,19.4,408.39K,-0.61%
08/10/2021,19.7,19.81,20.09,19.31,396.25K,-2.04%
08/09/2021,20.11,20.1,20.4,19.71,918.71K,0.70%
08/08/2021,19.97,19.9,20.1,19.7,434.99K,1.78%
08/05/2021,19.62,19.65,19.75,19.51,81.90K,0.20%
08/04/2021,19.58,19.5,19.9,19.25,101.34K,0.56%
08/03/2021,19.47,19.79,20.0,19.2,296.64K,-2.21%
08/02/2021,19.91,20.08,20.14,19.6,254.65K,-0.55%
08/01/2021,20.02,19.61,20.19,19.61,305.05K,1.01%
07/29/2021,19.82,20.02,20.35,19.65,335.08K,-1.05%
07/28/2021,20.03,20.22,20.25,19.9,252.81K,-1.38%
07/27/2021,20.31,20.87,20.87,20.05,490.44K,-0.29%
07/26/2021,20.37,20.46,20.85,20.01,978.21K,0.10%
07/25/2021,20.35,20.0,21.0,20.0,554.02K,3.14%
07/18/2021,19.73,19.79,19.99,19.4,198.33K,1.91%
07/15/2021,19.36,19.63,19.9,19.3,483.27K,0.31%
07/14/2021,19.3,19.3,19.68,19.25,753.66K,1.21%
07/13/2021,19.07,19.14,19.15,19.01,12.44K,-0.37%
07/12/2021,19.14,18.85,19.3,18.85,48.80K,1.22%
07/11/2021,18.91,18.99,19.01,18.7,44.29K,-0.16%
07/08/2021,18.94,19.06,19.11,18.73,463.74K,-0.37%
07/07/2021,19.01,19.0,19.23,18.94,65.72K,0.00%
07/06/2021,19.01,19.19,19.23,18.9,175.06K,-3.26%
07/05/2021,19.65,20.01,20.25,19.3,360.87K,-1.45%
07/04/2021,19.94,19.4,20.4,19.4,593.74K,3.80%
06/30/2021,19.21,19.31,19.5,18.92,416.87K,-1.18%
06/29/2021,19.44,19.68,19.68,19.31,34.87K,-1.97%
06/28/2021,19.83,19.49,20.5,19.33,464.69K,2.53%
06/27/2021,19.34,19.49,19.76,19.2,107.54K,1.15%
06/24/2021,19.12,19.33,19.33,19.1,302.59K,-0.68%
06/23/2021,19.25,19.47,19.5,19.05,777.42K,3.00%
06/22/2021,18.69,18.53,19.3,18.51,661.97K,0.97%
06/21/2021,18.51,18.62,18.65,18.5,516.07K,0.71%
06/20/2021,18.38,18.55,18.8,18.12,75.76K,-1.71%
06/17/2021,18.7,18.6,18.9,18.52,322.48K,0.70%
06/16/2021,18.57,18.5,18.97,18.4,403.92K,1.36%
06/15/2021,18.32,18.45,18.5,18.2,86.48K,-0.70%
06/14/2021,18.45,18.26,18.5,18.26,46.15K,-0.11%
06/13/2021,18.47,18.75,18.8,18.3,120.35K,-1.28%
06/10/2021,18.71,18.98,18.98,18.6,76.03K,-0.37%
06/09/2021,18.78,18.5,18.93,18.5,49.63K,1.51%
06/08/2021,18.5,18.98,18.98,18.4,93.26K,-1.49%
06/07/2021,18.78,18.85,19.98,18.5,102.86K,1.68%
06/06/2021,18.47,18.8,19.0,18.2,542.48K,-1.39%
06/03/2021,18.73,18.99,19.0,18.5,78.71K,-0.48%
06/02/2021,18.82,19.0,19.0,18.7,299.66K,0.37%
06/01/2021,18.75,18.94,18.94,18.5,31.46K,-1.21%
05/31/2021,18.98,19.49,19.49,18.7,150.29K,-0.73%
05/30/2021,19.12,19.16,19.25,19.0,157.84K,-0.21%
05/27/2021,19.16,20.16,20.16,19.0,258.53K,-1.39%
05/26/2021,19.43,19.73,19.73,19.2,140.60K,-1.52%
05/25/2021,19.73,20.2,20.2,19.6,27.12K,-1.10%
05/24/2021,19.95,20.0,20.4,19.8,20.40K,-0.20%
05/23/2021,19.99,20.3,20.3,19.86,51.60K,-1.38%
05/20/2021,20.27,20.44,20.49,20.13,6.41K,-0.83%
05/19/2021,20.44,20.88,20.89,20.25,26.64K,-1.49%
05/18/2021,20.75,20.75,21.5,20.3,310.41K,2.17%
05/17/2021,20.31,19.94,20.83,19.94,21.67K,1.91%
05/11/2021,19.93,19.89,20.0,19.65,19.45K,0.40%
05/10/2021,19.85,19.85,19.9,19.71,1.71K,0.00%
05/09/2021,19.85,19.9,19.9,19.7,36.46K,0.92%
05/06/2021,19.67,19.9,19.9,19.61,12.37K,-1.16%
05/05/2021,19.9,19.67,19.95,19.6,70.68K,-0.05%
05/04/2021,19.91,19.87,20.0,19.63,48.73K,0.50%
04/28/2021,19.81,19.98,19.98,19.6,51.51K,-0.75%
04/27/2021,19.96,20.0,20.38,19.77,74.40K,0.00%
04/26/2021,19.96,19.9,20.0,19.76,16.30K,0.10%
04/25/2021,19.94,20.48,20.48,19.75,29.08K,-0.35%
04/22/2021,20.01,20.0,20.24,20.0,17.75K,0.96%
04/21/2021,19.82,20.0,20.0,19.71,18.01K,-0.90%
04/20/2021,20.0,19.95,20.49,19.95,254.57K,0.15%
04/19/2021,19.97,19.99,20.25,19.8,25.25K,0.86%
04/18/2021,19.8,19.51,19.99,19.51,5.18K,1.64%
04/15/2021,19.48,19.06,19.84,19.0,95.42K,-0.97%
04/14/2021,19.67,19.85,20.0,19.0,94.85K,-1.65%
04/13/2021,20.0,20.17,20.17,19.91,25.56K,-0.94%
04/12/2021,20.19,20.8,20.8,20.16,4.74K,0.00%
04/11/2021,20.19,20.21,20.95,19.45,34.65K,-1.22%
04/08/2021,20.44,20.7,20.75,20.11,20.38K,-0.05%
04/07/2021,20.45,20.48,20.95,20.1,23.38K,-0.58%
04/06/2021,20.57,20.55,21.0,20.01,66.28K,-1.95%
04/05/2021,20.98,19.9,21.5,19.9,420.44K,4.90%
04/04/2021,20.0,20.81,20.81,19.83,43.76K,-4.44%
04/01/2021,20.93,21.3,21.3,20.81,10.74K,-2.10%
03/31/2021,21.38,21.38,21.38,20.8,4.27K,0.00%
03/30/2021,21.38,21.48,21.48,21.05,9.05K,1.33%
03/29/2021,21.1,21.5,21.69,21.0,18.00K,-1.86%
03/28/2021,21.5,21.7,22.0,21.02,56.91K,-0.42%
03/25/2021,21.59,21.43,22.0,21.0,228.72K,1.84%
03/24/2021,21.2,20.48,22.0,20.48,407.93K,5.37%
03/23/2021,20.12,20.0,20.49,19.65,76.61K,0.50%
03/22/2021,20.02,20.49,20.49,19.99,107.87K,-3.47%
03/21/2021,20.74,20.99,21.0,20.01,159.46K,-0.34%
03/18/2021,20.81,20.64,21.01,20.64,26.07K,-0.95%
03/17/2021,21.01,21.03,21.4,20.64,19.79K,-1.82%
03/16/2021,21.4,21.0,21.5,20.51,114.02K,2.00%
03/15/2021,20.98,21.12,21.5,20.7,110.94K,-2.37%
03/14/2021,21.49,21.3,21.54,21.2,212.94K,0.51%
03/11/2021,21.38,21.04,21.6,21.03,163.69K,-0.97%
03/10/2021,21.59,21.05,21.98,19.34,1.47M,0.51%
03/09/2021,21.48,22.0,22.0,21.0,470.54K,-5.12%
03/08/2021,22.64,22.8,23.0,21.01,152.01K,0.80%
03/07/2021,22.46,21.88,23.07,21.88,462.39K,3.07%
03/04/2021,21.79,21.7,21.9,21.65,152.91K,-0.50%
03/03/2021,21.9,22.36,22.36,21.25,65.31K,-1.97%
03/02/2021,22.34,22.24,22.42,22.24,250.90K,1.09%
03/01/2021,22.1,21.65,22.4,21.65,118.85K,0.73%
02/28/2021,21.94,21.71,22.21,21.7,274.10K,-1.17%
02/25/2021,22.2,21.88,22.69,21.79,483.10K,1.09%
02/24/2021,21.96,21.4,22.0,21.3,119.54K,1.62%
02/23/2021,21.61,21.7,21.7,21.5,174.13K,-0.28%
02/22/2021,21.67,21.89,21.89,21.63,22.20K,-0.32%
02/21/2021,21.74,21.5,21.9,21.5,61.40K,-0.78%
02/18/2021,21.91,21.25,22.0,21.21,315.32K,3.30%
02/17/2021,21.21,21.58,21.69,21.12,86.00K,-1.26%
02/16/2021,21.48,21.65,21.65,21.12,476.03K,0.51%
02/15/2021,21.37,21.75,21.8,21.1,385.15K,0.00%
02/14/2021,21.37,21.98,22.0,21.2,500.43K,-2.20%
02/11/2021,21.85,22.25,22.25,21.81,72.45K,-0.36%
02/10/2021,21.93,22.34,22.35,21.69,110.45K,-0.23%
02/09/2021,21.98,22.0,22.35,21.65,200.35K,-0.32%
02/08/2021,22.05,22.8,22.8,21.5,272.51K,-2.39%
02/07/2021,22.59,23.0,23.79,22.42,150.24K,-1.05%
02/04/2021,22.83,22.86,23.0,22.64,88.32K,-0.52%
02/03/2021,22.95,23.01,23.02,22.65,171.94K,-2.42%
